time_slot,nodeId,clusterId,count,selected
4,0,domain1,4,1
5,0,domain6,4,1
5,0,domain1,1,0
6,0,domain1,3,1
6,0,domain3,2,0
7,0,domain1,3,1
7,0,domain3,2,0
8,0,domain6,4,1
8,0,domain1,1,0
9,0,domain7,4,1
9,0,domain0,1,0
10,0,domain0,3,1
10,0,domain3,2,0
11,0,domain6,3,1
11,0,domain3,2,0
12,0,domain6,5,1
13,0,domain5,4,1
13,0,domain7,1,0
14,0,domain7,3,1
14,0,domain0,2,0
15,0,domain4,3,1
15,0,domain0,2,0
16,0,domain5,4,1
16,0,domain4,1,0
17,0,domain1,4,1
17,0,domain3,1,0
18,0,domain3,3,1
18,0,domain5,2,0
19,0,domain7,3,1
19,0,domain5,2,0
20,0,domain1,4,1
20,0,domain7,1,0
21,0,domain0,4,1
21,0,domain2,1,0
22,0,domain2,3,1
22,0,domain1,2,0
23,0,domain3,3,1
23,0,domain1,2,0
24,0,domain7,4,1
24,0,domain3,1,0
25,0,domain6,4,1
25,0,domain3,1,0
26,0,domain3,3,1
26,0,domain6,2,0
27,0,domain6,5,1
28,0,domain5,4,1
28,0,domain6,1,0
29,0,domain0,4,1
29,0,domain4,1,0
30,0,domain4,5,1
31,0,domain5,3,1
31,0,domain4,2,0
32,0,domain2,4,1
32,0,domain5,1,0
33,0,domain6,4,1
33,0,domain7,1,0
34,0,domain7,3,1
34,0,domain0,2,0
35,0,domain2,3,1
35,0,domain0,2,0
