qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns,cache_hit_exact,cache_hit_semantic,sim_max,matched_cache_name,sanr_cluster_id
0,tag,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain1,/domain1/data/doc/pol_000142,/domain1=0.8394;/domain0=0.7234;/domain7=0.7205,0,1,0.723384,20200.000000,20223.340399,20223.340399,20242.207099,42.207099,-1,5,-1,32,1,19165,4210,42,1113,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,23.340399,18.866700,20200000000,20223340399,20223340399,20242207099,0,0,0.000000,,
0,tag,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain1,/domain1/data/doc/pol_000142,/domain1=0.8394;/domain0=0.7234;/domain7=0.7205,0,1,0.723384,20400.000000,20423.323800,20423.323800,20423.323800,23.323800,-1,5,-1,32,1,19165,4210,42,1113,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,23.323800,0.000000,20400000000,20423323800,20423323800,20423323800,0,0,0.000000,,
0,tag,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain1,/domain1/data/doc/pol_000142,/domain1=0.8394;/domain0=0.7234;/domain7=0.7205,0,1,0.723384,20600.000000,20623.378866,20623.378866,20623.378866,23.378866,-1,5,-1,32,1,19165,4210,42,1113,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,23.378866,0.000000,20600000000,20623378866,20623378866,20623378866,0,0,0.000000,,
0,tag,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain1,/domain1/data/doc/pol_000142,/domain1=0.8394;/domain0=0.7234;/domain7=0.7205,0,1,0.723384,20800.000000,20823.298480,20823.298480,20823.298480,23.298480,-1,5,-1,32,1,19165,4210,42,1113,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,23.298480,0.000000,20800000000,20823298480,20823298480,20823298480,0,0,0.000000,,
1,tag,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain4,/domain4/data/doc/traf_000426,/domain4=0.5571;/domain0=0.5111;/domain7=0.5046;/domain1=0.4813,0,0,0.511086,21000.000000,21023.345942,21023.345942,21035.609710,35.609710,-1,4,-1,32,1,19166,4074,43,1114,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,23.345942,12.263768,21000000000,21023345942,21023345942,21035609710,0,0,0.000000,,
1,tag,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain4,/domain4/data/doc/traf_000426,/domain4=0.5571;/domain0=0.5111;/domain7=0.5046;/domain1=0.4813,0,0,0.511086,21200.000000,21223.298321,21223.298321,21223.298321,23.298321,-1,4,-1,32,1,19166,4074,43,1114,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,23.298321,0.000000,21200000000,21223298321,21223298321,21223298321,0,0,0.000000,,
1,tag,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain4,/domain4/data/doc/traf_000426,/domain4=0.5571;/domain0=0.5111;/domain7=0.5046;/domain1=0.4813,0,0,0.511086,21400.000000,21423.325898,21423.325898,21423.325898,23.325898,-1,4,-1,32,1,19166,4074,43,1114,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,23.325898,0.000000,21400000000,21423325898,21423325898,21423325898,0,0,0.000000,,
1,tag,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain4,/domain4/data/doc/traf_000426,/domain4=0.5571;/domain0=0.5111;/domain7=0.5046;/domain1=0.4813,0,0,0.511086,21600.000000,21623.365876,21623.365876,21623.365876,23.365876,-1,4,-1,32,1,19166,4074,43,1114,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,23.365876,0.000000,21600000000,21623365876,21623365876,21623365876,0,0,0.000000,,
2,tag,List streetlight data around Westside Heights Riverside Park,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain0,/domain0/data/doc/sl_000056,/domain0=0.6451;/domain1=0.6448;/domain4=0.6445,0,0,0.645059,21800.000000,21823.343467,21823.343467,21846.389987,46.389987,-1,8,-1,32,1,19168,4025,41,1112,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,23.343467,23.046520,21800000000,21823343467,21823343467,21846389987,0,0,0.000000,,
2,tag,List streetlight data around Westside Heights Riverside Park,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain0,/domain0/data/doc/sl_000056,/domain0=0.6451;/domain1=0.6448;/domain4=0.6445,0,0,0.645059,22000.000000,22023.312000,22023.312000,22023.312000,23.312000,-1,8,-1,32,1,19168,4025,41,1112,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,23.312000,0.000000,22000000000,22023312000,22023312000,22023312000,0,0,0.000000,,
