qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns,cache_hit_exact,cache_hit_semantic,sim_max,matched_cache_name,sanr_cluster_id
0,sanr-tag,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain1,/domain1/data/doc/pol_000142,/domain1=0.8394;/domain0=0.7234;/domain7=0.7205,0,1,0.723384,20200.000000,20225.266399,20225.266399,20244.133099,44.133099,-1,5,-1,32,1,19165,4210,42,1113,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,25.266399,18.866700,20200000000,20225266399,20225266399,20244133099,0,0,0.000000,,domain1
0,sanr-tag,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain1,/domain1/data/doc/pol_000142,/domain1=0.8394;/domain0=0.7234;/domain7=0.7205,0,1,0.723384,20400.000000,20425.208800,20425.208800,20425.208800,25.208800,-1,5,-1,32,1,19165,4210,42,1113,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,25.208800,0.000000,20400000000,20425208800,20425208800,20425208800,0,0,0.446511,,domain1
0,sanr-tag,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain1,/domain1/data/doc/pol_000142,/domain1=0.8394;/domain0=0.7234;/domain7=0.7205,0,1,0.723384,20600.000000,20625.377866,20625.377866,20625.377866,25.377866,-1,5,-1,32,1,19165,4210,42,1113,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,25.377866,0.000000,20600000000,20625377866,20625377866,20625377866,0,0,0.446511,,domain1
0,sanr-tag,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain1,/domain1/data/doc/pol_000142,/domain1=0.8394;/domain0=0.7234;/domain7=0.7205,0,1,0.723384,20800.000000,20825.148480,20825.148480,20825.148480,25.148480,-1,5,-1,32,1,19165,4210,42,1113,0,0,1,1,0,DOC_WRONG,none,,rocketfuel,25.148480,0.000000,20800000000,20825148480,20825148480,20825148480,0,0,0.446511,,domain1
1,sanr-tag,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain4,/domain4/data/doc/traf_000426,/domain4=0.5571;/domain0=0.5111;/domain7=0.5046;/domain1=0.4813,0,0,0.511086,21000.000000,21025.284942,21025.284942,21038.732710,38.732710,-1,4,-1,32,1,19166,4074,43,1114,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,25.284942,13.447768,21000000000,21025284942,21025284942,21038732710,0,0,0.074690,,domain6
1,sanr-tag,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain4,/domain4/data/doc/traf_000426,/domain4=0.5571;/domain0=0.5111;/domain7=0.5046;/domain1=0.4813,0,0,0.511086,21200.000000,21225.133321,21225.133321,21225.133321,25.133321,-1,4,-1,32,1,19166,4074,43,1114,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,25.133321,0.000000,21200000000,21225133321,21225133321,21225133321,0,0,0.502267,,domain6
1,sanr-tag,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain4,/domain4/data/doc/traf_000426,/domain4=0.5571;/domain0=0.5111;/domain7=0.5046;/domain1=0.4813,0,0,0.511086,21400.000000,21425.222898,21425.222898,21425.222898,25.222898,-1,4,-1,32,1,19166,4074,43,1114,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,25.222898,0.000000,21400000000,21425222898,21425222898,21425222898,0,0,0.502267,,domain6
1,sanr-tag,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain4,/domain4/data/doc/traf_000426,/domain4=0.5571;/domain0=0.5111;/domain7=0.5046;/domain1=0.4813,0,0,0.511086,21600.000000,21625.338876,21625.338876,21625.338876,25.338876,-1,4,-1,32,1,19166,4074,43,1114,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,25.338876,0.000000,21600000000,21625338876,21625338876,21625338876,0,0,0.502267,,domain6
2,sanr-tag,List streetlight data around Westside Heights Riverside Park,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain0,/domain0/data/doc/sl_000056,/domain0=0.6451;/domain1=0.6448;/domain4=0.6445,0,0,0.645059,21800.000000,21825.281467,21825.281467,21849.670987,49.670987,-1,8,-1,32,1,19168,4025,41,1112,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,25.281467,24.389520,21800000000,21825281467,21825281467,21849670987,0,0,0.380528,,domain1
2,sanr-tag,List streetlight data around Westside Heights Riverside Park,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain0,/domain0/data/doc/sl_000056,/domain0=0.6451;/domain1=0.6448;/domain4=0.6445,0,0,0.645059,22000.000000,22025.191000,22025.191000,22025.191000,25.191000,-1,8,-1,32,1,19168,4025,41,1112,0,0,1,1,0,DOMAIN_WRONG,none,,rocketfuel,25.191000,0.000000,22000000000,22025191000,22025191000,22025191000,0,0,0.590925,,domain1
